model,image,predicted_caption,true_captions,bleu1,bleu4,rougeL
BLIP,000000037777.jpg,there is a bowl of oranges on a table in the kitchen,"['The dining table near the kitchen has a bowl of fruit on it.', 'A small kitchen has various appliances and a table.', 'The kitchen is clean and ready for us to see.', 'A kitchen and dining area decorated in white.', 'A kitchen that has a bowl of fruit on the table.']",0.8333333333333334,0.15827186615930014,0.43478260869565216
BLIP,000000006818.jpg,there is a toilet in a bathroom with a bucket and a shower head,"['a couple of buckets in a white room', 'A bathroom with no toilets and a red and green bucket. ', 'a shower room with two buckets, tolet paper holder and soap.', 'A standing toilet in a bathroom next to a window.', 'This picture looks like a janitors closet with buckets on the floor.']",0.6428571428571429,0.2865612242047131,0.5
BLIP,000000039956.jpg,there is a bed and a chair in a room with a brick wall,"['A messy room with door and bed and chair.', 'A bedroom in an old house that is being renovated ', 'View of a very messy bedroom with boxes and bags covering the floor.', 'a messy bed room a bed a chair and boxes', 'A messy bedroom has one red brick wall.']",0.7857142857142857,0.08936526607621557,0.34782608695652173
BLIP,000000033638.jpg,there is a woman that is standing in front of a stove,"['A woman observing something on a kitchen stove.', 'A woman is cooking on a large black stove', 'A woman cooking on an old fashioned stove.', 'A man preparing food on a large old oven.', 'A woman wearing shorts bends over a frying pan on a stove.']",0.4166666666666667,0.06003934299439418,0.4761904761904762
BLIP,000000034873.jpg,there is a kitchen with a sink and a counter top,"['A kitchen with a counter and a table with chairs.', 'A large dining room features wooden cabinets and a marble counter top.', 'a black counter a sink and a table and two chairs', 'A kitchen island has a farmhouse sink on it.', 'A sink in a peninsula in a kitchen.']",0.7272727272727273,0.4876836638685217,0.5714285714285713
BLIP,000000021503.jpg,there are four pieces of bread on a plate with icing on them,"['Crackers with spread on table with remote in background', 'There is a plate filled with pastries next to a keyboard.', 'Square pastries are assorted on a white platter.', 'Plate of crackers with something spread on them next to a keyboard', 'Crackers coated with spread, sitting on a plate, ready to eat.']",0.6153846153846154,0.08235792347411655,0.33333333333333337
BLIP,000000004495.jpg,there is a couch and chair in a room with a television,"['A living room with a couch and chair.', 'A television, couch and chair in the corner of a room.', 'A very simple living area with a chair, sofa and TV.', 'A corner of a living room with a TV in it.', 'a room with a tv and some different types of couches']",0.75,0.47987820666906633,0.6086956521739131
BLIP,000000009483.jpg,there is a man standing in front of a desk with a computer and a monitor,"['A man in a suit standing next to a control board and computer.', 'A man standing near a table with video equipment. ', 'Man in suit smiling next to electronics and monitors', 'A man by desk with mixing equipment, a keyboard and a computer monitor.', 'A man in a suit stands near a table with computer equipment on it.']",0.625,0.1334729338542612,0.5517241379310345
BLIP,000000031050.jpg,there are many vases and vases on display in a room,"['A vase with various flowers in it on a display case.', 'a vase with flowers on a display near a wall', 'The vase is holding an arrangement of dried vines. ', 'an image of a flower arrangement in the vase', 'A vase full of flowers is sitting on display.']",0.36363636363636365,0.030544559360566513,0.380952380952381
BLIP,000000042276.jpg,there is a bathroom with a toilet and a bunch of shoes on the floor,"['A toilet sitting in a room surrounded by personal items.', 'A bathroom with ski equipment laid out on the floor.', 'A bathroom with a toilet, a plant, a stand and several footwear on the floor. ', 'The bathroom is a mess with sports gear. ', 'a bathroom with a toilet and a lot of ski boots']",0.7333333333333333,0.4814400258132247,0.6153846153846153
